CTID,Title,Conditions,Results First Posted,Ticker
NCT00732225,DisCoVisc Comparative Evaluation,Cataracts,7/30/2010,ALC
NCT00578929,Safety and Efficacy of Olopatadine HCl Nasal Spray in 6-11 Year Old Patients,Seasonal Allergic Rhinitis,2/9/2010,ALC
NCT00578331,Safety Study of Olopatadine Nasal Spray,Perennial Allergic Rhinitis,2/3/2010,ALC
NCT00576251,TOBRADEX Ophthalmic Suspension Versus Tobramycin 0.3%/Dexamethasone 0.05% Ophthalmic Suspension,Ocular Inflammation Associated With Blepharaconjunctivitis,1/14/2010,ALC
NCT00051168,A Long-term Safety Study of Once-daily Travatan,"Glaucoma, Open-angle|Ocular Hypertension",4/12/2010,ALC
NCT00853905,Will the Use of Triesence During Glaucoma Surgery Provide Lower Eye Pressure and Improve the Results of the Surgery?,Glaucoma,3/21/2016,ALC
NCT01028378,Safety and Efficacy Study of Topography-Guided LASIK to Treat Myopia and Hyperopia,Myopia|Hyperopia,4/11/2016,ALC
NCT01997229,Safety and Efficacy of Eculizumab in Refractory Generalized Myasthenia Gravis (REGAIN Study),Refractory Generalized Myasthenia Gravis,2/7/2018,ALXN
NCT00122317,Extension Study of Eculizumab in Patients With Transfusion Dependent Paroxysmal Nocturnal Hemoglobinuria (PNH),"Paroxysmal Hemoglobinuria, Nocturnal",6/5/2017,ALXN
NCT02145182,Prevention of Delayed Graft Function Using Eculizumab Therapy (PROTECT Study),Delayed Graft Function,12/17/2018,ALXN
NCT01176266,Open-Label Study of Asfotase Alfa in Infants and Children ≤ 5 Years of Age With Hypophosphatasia (HPP),Hypophosphatasia,2/26/2018,ALXN
NCT01371825,"Safety, Tolerability, Efficacy, Pharmacokinetics, and Pharmacodynamics of Sebelipase Alfa in Children With Growth Failure Due to Lysosomal Acid Lipase Deficiency",Lysosomal Acid Lipase Deficiency|Wolman Disease,4/18/2016,ALXN
NCT00628589,Staccato Loxapine in Agitated Patients With Schizophrenia,Patients With Schizophrenia and Acute Agitation,6/29/2017,
NCT00721955,Staccato Loxapine in Agitated Patients With Bipolar Disorder,Bipolar I Disorder,6/29/2017,
NCT01304706,Fluocinolone Acetonide in Diabetic Macular Edema (FAME) Extension Study,Diabetic Macular Edema,5/4/2015,ALIM
NCT00490815,Pharmacokinetic and Efficacy Study of Fluocinolone Acetonide Inserts in Patients With Diabetic Macular Edema,Diabetic Macular Edema,2/13/2014,ALIM
NCT00344968,Fluocinolone Acetonide Implant Compared to Sham Injection in Patients With Diabetic Macular Edema,Diabetic Macular Edema,5/7/2014,ALIM
NCT01180647,Extended-Release Naltrexone for Opioid Relapse Prevention Following Release From Jail,Opiate Dependence,4/7/2016,
NCT02696434,Evaluating Naltrexone for Use in Conjunction With Buprenorphine in Adults With Opioid Use Disorder Transitioning From Buprenorphine Maintenance Prior to First Dose of VIVITROL,Opioid Use Disorder,2/12/2019,
NCT02669758,A Long-Term Safety and Tolerability Study of ALKS 3831 in Adults With Schizophrenia,Schizophrenia,7/9/2019,
NCT02634346,A Study of ALKS 3831 in Adults With Acute Exacerbation of Schizophrenia (the ENLIGHTEN-1 Study),Schizophrenia,6/27/2018,
NCT02537574,Naltrexone for Use in Conjunction With Buprenorphine in Adults With Opioid Use Disorder Prior to First Dose of VIVITROL® (Naltrexone for Extended-Release Injectable Suspension),Opioid Use Disorder,1/9/2019,
NCT02218008,A Study of ALKS 5461 for the Treatment of Major Depressive Disorder (MDD) - FORWARD-5 Study,Major Depressive Disorder,3/27/2019,
NCT02158546,A Study of ALKS 5461 for the Treatment of Major Depressive Disorder (MDD) - the FORWARD-3 Study,Major Depressive Disorder,6/25/2019,
NCT02158533,A Study of ALKS 5461 for the Treatment of Major Depressive Disorder (MDD) - the FORWARD-4 Study,Major Depressive Disorder,3/27/2019,
NCT02141399,A Long-Term Safety Study of ALKS 5461,Major Depressive Disorder,12/14/2018,
NCT02085135,A Study of Different Titration Schedules of ALKS 5461 in Adults With Major Depressive Disorder (MDD),Major Depressive Disorder,3/27/2019,
NCT01895452,An Extension of a Long-term Safety Study of ALKS 9072 (Also Known as ALKS 9070),Schizophrenia,8/25/2017,
NCT01626456,A Long-term Safety Study of ALKS 9072 (Also Known as ALKS 9070),Schizophrenia,10/27/2016,
NCT01469039,"A Study to Evaluate the Efficacy and Safety of ALKS 9072 (Also Known as Aripiprazole Lauroxil, ALKS 9070, or ARISTADA) in Subjects With Schizophrenia",Schizophrenia,1/22/2016,
NCT00834080,ALK21-021: A Safety Study of Medisorb® Naltrexone (VIVITROL®) Administered to Health Care Professionals,Opiate Dependence,7/29/2013,
NCT00640614,Clinical Evaluation of T.R.U.E. TEST® : Safety and Efficacy,Contact Dermatitis,12/22/2015,
NCT00623636,Phase 3 Study of MAP0004 in Adult Migraineurs,Migraine Disorders,10/29/2013,AGN
NCT00105027,The Standard Care vs. COrticosteroid for REtinal Vein Occlusion (SCORE) Study,"Macular Edema, Cystoid|Retinal Vein Occlusion",1/19/2011,AGN
NCT02455050,A Study to Compare a New Eye Drop Formulation With Systane® Gel Drops and Genteal® Lubricant Gel Drops for Moderate to Severe Dry Eye Relief,Dry Eye Syndromes,1/4/2017,AGN
NCT02132117,Safety and Efficacy of Oxymetazoline HCl Cream 1.0% in Patients With Persistent Erythema Associated With Rosacea,Erythema|Rosacea,8/2/2016,AGN
NCT02131636,Efficacy and Safety of AGN-199201 in Patients With Persistent Erythema Associated With Rosacea,Erythema|Rosacea,3/10/2016,AGN
NCT02095158,A Long-Term Safety and Efficacy Study AGN-19920 in Patients With Persistent Erythema Associated With Rosacea,Erythema|Rosacea,9/21/2016,AGN
NCT01844388,A Study to Compare a New Eye Drop Formulation With Refresh Contacts®,Contact Lens Lubrication,9/29/2014,AGN
NCT01459588,"Safety, Efficacy, and Acceptability Study of an Eye Drop Formulation in Subjects With Dry Eye Disease",Dry Eye Syndromes,3/14/2013,AGN
NCT01099774,Safety and Efficacy of Different Formulations of Bimatoprost Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Glaucoma|Ocular Hypertension,4/27/2012,AGN
NCT00524264,A Study of Ketorolac for the Treatment of Inflammation and Pain Associated With Cataract Surgery,Cataract Extraction|Pain|Inflammation,10/1/2009,AGN
NCT00521456,A Study of Ketorolac for the Treatment of Inflammation and Pain Associated With Cataract Surgery,Cataract Extraction,10/1/2009,AGN
NCT00509873,A Study of the Safety and Efficacy of Gatifloxacin in Patients With Bacterial Conjunctivitis,Bacterial Conjunctivitis,11/30/2011,AGN
NCT01830140,A Safety Study of Bimatoprost in Patients With Glaucoma or Ocular Hypertension,Glaucoma|Ocular Hypertension,5/6/2015,AGN
NCT01974141,A Safety and Efficacy Study of Dapsone Gel in Patients With Acne Vulgaris,Acne Vulgaris,2/6/2017,AGN
NCT02165111,Efficacy of Botulinum Toxin In Scleroderma-Associated Raynaud's Syndrome,Scleroderma|Raynaud's Syndrome,12/22/2016,AGN
NCT01449682,Efficacy of an Intravitreal DEX Implant in Retinal Vein Occlusion Following Treatment With Anti-VEGF Injections.,Retinal Vein Occlusion|Macular Edema,5/31/2017,AGN
NCT01422161,Study of Botulinum Toxin and Recovery of Hand Function After Stroke,Stroke With Hemiparesis,5/31/2019,AGN
NCT01974323,Safety and Efficacy Study of Dapsone Gel in Patients With Acne Vulgaris,Acne Vulgaris,2/6/2017,AGN
NCT01765764,Bimatoprost for the Treatment of Eyebrow Hypotrichosis,Eyebrow Hypotrichosis,1/26/2015,AGN
NCT00910845,Study of Botulinum Toxin Type A for the Treatment of Patients With Idiopathic Overactive Bladder With Urinary Incontinence,Overactive Bladder,3/5/2013,AGN
NCT00907426,Safety and Efficacy Study of Bimatoprost to Treat Hypotrichosis of the Eyelashes After Application to the Eyelid Margin,Hypotrichosis,9/19/2012,AGN
NCT00693420,Safety and Efficacy of Bimatoprost Solution in Increasing Overall Eyelash Prominence,Eyelashes,5/12/2009,AGN
NCT00518089,A Study of the Safety and Efficacy of Gatifloxacin in Patients With Bacterial Conjunctivitis,Bacterial Conjunctivitis,11/30/2011,AGN
NCT00156910,A Study Using Botulinum Toxin Type A as Headache Prophylaxis for Migraine Patients With Frequent Headaches,Migraine Disorders,12/7/2010,AGN
NCT00691197,Safety and Acceptability of Using a Rewetting Drop With Contact Lens Wear,Ametropia,12/10/2009,AGN
NCT01790685,Ozurdex for Retinal Vein Occlusion Study (ORVO Study),Retinal Vein Occlusion,4/3/2015,AGN
NCT01698554,Bimatoprost in the Treatment of Eyelash Hypotrichosis,Idiopathic Eyelash Hypotrichosis,2/10/2015,AGN
NCT01224015,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Crow's Feet Lines and Frown Lines,Facial Rhytides|Crow's Feet Lines|Glabellar Lines,2/25/2014,AGN
NCT01189760,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Crow's Feet Lines and Frown Lines,Facial Rhytides|Crow's Feet Lines|Glabellar Lines,12/3/2013,AGN
NCT01189747,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Crow's Feet Lines,Lateral Canthus Rhytides|Crow's Feet Lines,12/3/2013,AGN
NCT02413346,A Multi-Center Open-Label Evaluation of the Safety of Sarecycline Tablets in the Treatment of Acne Vulgaris,Acne Vulgaris,5/4/2018,AGN
NCT02322866,"Randomized, Double-blind, Placebo-controlled Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne",Acne Vulgaris,5/7/2018,AGN
NCT02320149,Study to Evaluate Safety & Efficacy of Sarecycline in Treatment of Acne,Acne Vulgaris,5/17/2018,AGN
NCT02867709,"Efficacy, Safety, and Tolerability of Oral Ubrogepant in the Acute Treatment of Migraine","Migraine, With or Without Aura",1/29/2019,AGN
NCT02828020,"Efficacy, Safety, and Tolerability Study of Oral Ubrogepant in the Acute Treatment of Migraine","Migraine, With or Without Aura",1/3/2019,AGN
NCT02553772,A Safety and Efficacy Study of a New Eye Drop Formulation in Patients With Dry Eye Disease.,Dry Eye Syndromes,11/17/2017,AGN
NCT02280473,A Safety and Efficacy Study of Refresh Optive® Gel Drops in Patients With Dry Eye Disease,Dry Eye Syndromes,6/7/2017,AGN
NCT02261493,A Safety and Efficacy Study of OnabotulinumtoxinA in Upper Facial Rhytides,Facial Rhytides|Glabellar Rhytides,7/25/2017,AGN
NCT02261467,A Safety and Efficacy Study of OnabotulinumtoxinA in Forehead and Glabellar Facial Rhytides,Forehead Rhytides|Glabellar Rhytides,6/23/2017,AGN
NCT02147197,A Study of the Efficacy and Safety of a 3-month Treatment Course of Ulipristal Acetate for the Treatment of Abnormal Uterine Bleeding Associated With Leiomyomas,Leiomyoma|Uterine Hemorrhage,4/5/2019,AGN
NCT02147158,A Study of the Efficacy and Safety of Ulipristal Acetate Intermittent Treatment for Abnormal Uterine Bleeding Associated With Leiomyomas,Leiomyoma|Uterine Hemorrhage,6/4/2019,AGN
NCT01662492,A Study Using Botulinum Toxin Type A as Headache Prophylaxis in Adolescents With Chronic Migraine,Migraine Disorders,9/5/2017,AGN
NCT01603628,BOTOX® Treatment in Pediatric Lower Limb Spasticity,Pediatrics|Muscle Spasticity|Cerebral Palsy,8/14/2018,AGN
NCT01603602,BOTOX® Treatment in Pediatric Upper Limb Spasticity,Pediatrics|Muscle Spasticity|Cerebral Palsy|Stroke,8/14/2018,AGN
NCT01575054,BOTOX® Treatment in Adult Patients With Post-Stroke Lower Limb Spasticity,Muscle Spasticity,2/1/2016,AGN
NCT02848326,"Efficacy, Safety, and Tolerability of Multiple Dosing Regimens of Oral Atogepant (AGN-241689) in Episodic Migraine Prevention","Migraine, With or Without Aura",12/6/2018,AGN
NCT00168428,A Study Using Botulinum Toxin Type A as Headache Prophylaxis for Migraine Patients With Frequent Headaches,Migraine Disorders,12/7/2010,AGN
NCT00367133,Intravitreal Triamcinolone Acetonide Versus Laser for Diabetic Macular Edema,Diabetic Macular Edema,7/9/2010,AGN
NCT01767519,A Study Evaluating the Efficacy and Safety of BOTOX® or Solifenacin in Patients With Overactive Bladder and Urinary Incontinence,Overactive Bladder|Urinary Incontinence,1/12/2016,AGN
NCT01600716,Safety and Efficacy Study of OnabotulinumtoxinA for the Treatment of Urinary Incontinence Due to Neurogenic Detrusor Overactivity (NDO) in Non-Catheterizing Patients With Multiple Sclerosis (MS),Urinary Incontinence|Multiple Sclerosis|Neurogenic Bladder,3/22/2016,AGN
NCT00445003,Laser-Ranibizumab-Triamcinolone for Proliferative Diabetic Retinopathy,Proliferative Diabetic Retinopathy|Diabetic Macular Edema,7/13/2011,AGN
NCT00444600,Laser-Ranibizumab-Triamcinolone for Diabetic Macular Edema,Diabetic Retinopathy|Diabetic Macular Edema,7/12/2011,AGN
NCT01177098,Safety and Efficacy of a New Formulation of Bimatoprost/Timolol Ophthalmic Solution Compared With Bimatoprost/Timolol Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,Glaucoma|Ocular Hypertension,3/12/2013,AGN
NCT00915525,Long Term Follow-up Study of Safety and Efficacy of Botulinum Toxin Type A for the Treatment of Patients With Idiopathic Overactive Bladder With Urinary Incontinence,Overactive Bladder|Urinary Incontinence,12/18/2015,AGN
NCT00910520,Botulinum Toxin Type A for the Treatment of Patients With Idiopathic Overactive Bladder With Urinary Incontinence,Overactive Bladder,3/5/2013,AGN
NCT00884585,Efficacy and Safety Study of Cyclosporine 0.010% to Treat Atopic Keratoconjunctivitis,Atopic Conjunctivitis,11/5/2012,AGN
NCT00876447,A Long-term Follow-up Study of Botulinum Toxin Type A in Patients With Overactive Bladder as a Result of Spinal Injury or Multiple Sclerosis,Overactive Bladder,7/14/2014,AGN
NCT00461292,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Neurogenic Overactive Bladder,Overactive Bladder,10/17/2011,AGN
NCT00311376,Safety and Efficacy Study of Botulinum Toxin Type A for the Treatment of Neurogenic Overactive Bladder,Overactive Bladder,10/17/2011,AGN
NCT00168389,A Study of the Safety and Efficacy of a New Treatment for Diabetic Macular Edema,Diabetic Macular Edema,8/4/2014,AGN
NCT00168337,A Study of the Safety and Efficacy of a New Treatment for Diabetic Macular Edema,Diabetic Macular Edema,8/4/2014,AGN
NCT00168324,A Study of the Safety and Efficacy of a New Treatment for Macular Edema Resulting From Retinal Vein Occlusion,Macular Edema|Retinal Vein Occlusion,8/26/2009,AGN
NCT00168298,A Study of the Safety and Efficacy of a New Treatment for Macular Edema Resulting From Retinal Vein Occlusion,Macular Edema|Retinal Vein Occlusion,8/26/2009,AGN
NCT00333814,A Study of the Safety and Efficacy of a New Treatment for Non-Infectious Intermediate or Posterior Uveitis,Intermediate Uveitis|Posterior Uveitis,4/14/2011,AGN
NCT01818336,Evaluation of Skin Testing Reagents for Penicillin Allergy,History of IgE Dependent Reaction to a Penicillin Product,1/4/2017,
NCT00376675,Methylphenidate in Treating Patients With Fatigue Caused by Cancer,"Fatigue|Unspecified Adult Solid Tumor, Protocol Specific",10/10/2014,
NCT00079001,Zoledronate in Preventing Skeletal (Bone)-Related Events in Men Who Are Receiving Androgen Deprivation Therapy For Prostate Cancer and Bone Metastases,Metastatic Cancer|Prostate Cancer,10/30/2014,
NCT02319005,ENDEAVOUR: Phase 3 Multicenter Study of Revusiran (ALN-TTRSC) in Patients With Transthyretin (TTR) Mediated Familial Amyloidotic Cardiomyopathy (FAC),"Transthyretin (TTR) Mediated Familial Amyloidotic Cardiomyopathy (FAC)|Amyloidosis, Hereditary|Amyloid Neuropathies, Familial|Amyloid Neuropathies|Amyloidosis, Hereditary, Transthyretin-Related|Familial Transthyretin Cardiac Amyloidosis",7/18/2018,ALNY
NCT01960348,"APOLLO: The Study of an Investigational Drug, Patisiran (ALN-TTR02), for the Treatment of Transthyretin (TTR)-Mediated Amyloidosis","TTR-mediated Amyloidosis|Amyloidosis, Hereditary|Amyloid Neuropathies, Familial|Familial Amyloid Polyneuropathies|Amyloid Neuropathies|Amyloidosis, Hereditary, Transthyretin-Related",9/6/2018,ALNY
NCT00035815,Insulin-like Growth Factor-1 in Amyotrophic Lateral Sclerosis (ALS) Trial,Amyotrophic Lateral Sclerosis,2/15/2013,
NCT00818662,A Phase 3 Study Evaluating Safety and Effectiveness of Immune Globulin Intravenous (IGIV 10%) for the Treatment of Mild-to-Moderate Alzheimer´s Disease,Alzheimer´s Disease,10/28/2014,
NCT00440050,"DHA (Docosahexaenoic Acid), an Omega 3 Fatty Acid, in Slowing the Progression of Alzheimer's Disease",Alzheimer's Disease,8/30/2010,
NCT02694978,A Phase III Safety Study of Ferumoxytol Compared to Ferric Carboxymaltose for the Treatment of Iron Deficiency Anemia (IDA),Iron Deficiency Anemia,6/11/2018,AMAG
NCT01114217,A Trial of Ferumoxytol for the Episodic Treatment of Iron Deficiency Anemia,Iron Deficiency Anemia,6/11/2018,AMAG
NCT01114139,A Trial Comparing Ferumoxytol With Placebo for the Treatment of Iron Deficiency Anemia,Iron Deficiency Anemia,6/11/2018,AMAG
NCT01353976,Safety and Efficacy of Econazole Nitrate Foam 1% in Subjects With Tinea Pedis,Tinea Pedis|Athlete's Foot,1/9/2013,
NCT03585504,Immediate Versus Delayed Insertion of Implanon in Postpartum Adolescents,Contraceptive Usage,10/4/2018,
NCT02680041,18F Fluciclovine (FACBC) PET/CT in Patients With Rising PSA After Initial Prostate Cancer Treatment,Prostate Cancer,1/28/2019,
NCT01401647,"Amiodarone, Lidocaine or Neither for Out-Of-Hospital Cardiac Arrest Due to Ventricular Fibrillation or Tachycardia",Cardiac Arrest,1/30/2017,
NCT00982007,Efficacy and Safety of Intravenous Ferric Carboxymaltose (FCM) in Patients With Iron Deficiency Anemia (IDA),Iron Deficiency Anemia,10/18/2013,
NCT00981045,Evaluation of Efficacy and Safety of Ferric Carboxymaltose (FCM) in Patients With Iron Deficiency Anemia and Impaired Renal Function,Iron Deficiency Anemia|Impaired Renal Function,10/18/2013,
NCT00704353,Safety and Tolerability of a Single Dose of FCM vs. Standard of Care in Treating Iron Deficiency Anemia,Anemia,11/25/2013,
