Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Phases,Funded Bys,Study Type,Results First Posted,URL
81,US Phase III Study of APD421 in PONV,Completed,Has Results,PONV,Drug: APD421- Amisulpride for IV injection|Drug: Placebo,Acacia Pharma Ltd,Phase 3,Industry,Interventional,6-Sep-18,https://ClinicalTrials.gov/show/NCT01991860
82,Placebo-Controlled Onset-of-Action Study of Flurbiprofen Utilizing the Double-Stopwatch Method,Completed,Has Results,Acute Pharyngitis|Sore Throat,Drug: flurbiprofen|Drug: placebo,Reckitt Benckiser LLC,Phase 3,Industry,Interventional,24-Aug-17,https://ClinicalTrials.gov/show/NCT01986361
83,"Safety, Reactogenicity and Immunogenicity of Flublok Quadrivalent (Recombinant Influenza Vaccine,Seasonal Formulation)",Completed,Has Results,Influenza,Biological: Flublok® Quadrivalent Influenza Virus Vaccine|Biological: Fluarix Quadrivalent® Influenza Virus Vaccine,Protein Sciences Corporation,Phase 3,Industry,Interventional,2-Aug-16,https://ClinicalTrials.gov/show/NCT01959945
84,CPG Styles Study: A Study of the Safety of the Contour Profile Gel Breast Implants (CPG Styles Study),Completed,Has Results,Breast Augmentation|Breast Reconstruction|Breast Revision,Device: The Contour Profile Gel (CPG) breast implants,"Mentor Worldwide, LLC",Phase 3,Industry,Interventional,11-Nov-16,https://ClinicalTrials.gov/show/NCT01959880
85,OTO-201 for the Treatment of Middle Ear Effusion in Pediatric Subjects Requiring Tympanostomy Tube Placement,Completed,Has Results,Otitis Media With Effusion,Drug: OTO-201|Drug: Sham,"Otonomy, Inc.",Phase 3,Industry,Interventional,11-Nov-16,https://ClinicalTrials.gov/show/NCT01949155
86,OTO-201 for the Treatment of Middle Ear Effusion in Pediatric Subjects Requiring Tympanostomy Tube Placement,Completed,Has Results,Otitis Media With Effusion,Drug: OTO-201|Drug: Sham,"Otonomy, Inc.",Phase 3,Industry,Interventional,15-Jun-16,https://ClinicalTrials.gov/show/NCT01949142
87,A Pharmacokinetic Substudy of the TDE-PH-304 Protocol,Completed,Has Results,Pulmonary Arterial Hypertension,Drug: UT-15C SR|Drug: treprostinil diethanolamine,United Therapeutics,Phase 3,Industry,Interventional,27-Oct-16,https://ClinicalTrials.gov/show/NCT01934582
88,AM-101 in the Treatment of Post-Acute Tinnitus 1,Completed,Has Results,Tinnitus,Drug: AM-101,"Auris Medical, Inc.",Phase 3,Industry,Interventional,9-Mar-18,https://ClinicalTrials.gov/show/NCT01934010
89,Efficacy and Safety of Ibuprofen and Caffeine in Dental Pain,Completed,Has Results,"Pain, Postoperative|Tooth Diseases",Drug: ibuprofen + caffeine|Drug: ibuprofen|Drug: caffeine|Drug: placebo,Boehringer Ingelheim,Phase 3,Industry,Interventional,16-Nov-16,https://ClinicalTrials.gov/show/NCT01929031
90,Long-Term Safety of Latanoprostene Bunod Ophthalmic Solution 0.024% in Japanese Subjects With OAG or OHT,Completed,Has Results,Glaucoma|Ocular Hypertension,Drug: Latanoprostene bunod,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,5-Jun-18,https://ClinicalTrials.gov/show/NCT01895972
91,"A Multi-Center, Evaluation of the Onset and Duration of Action of AC-170 0.24% Compared to Vehicle",Completed,Has Results,Allergic Conjunctivitis,Drug: AC-170 0.24%|Drug: AC-170 0%,"Aciex Therapeutics, Inc.",Phase 3,Industry,Interventional,9-Nov-17,https://ClinicalTrials.gov/show/NCT01881113
92,LEO 90100 Compared to Vehicle in Subjects With Psoriasis Vulgaris,Completed,Has Results,Psoriasis Vulgaris|Plaque Psoriasis,Drug: LEO 90100|Drug: Vehicle,LEO Pharma,Phase 3,Industry,Interventional,9-May-16,https://ClinicalTrials.gov/show/NCT01866163
93,A Study to Compare a New Eye Drop Formulation With Refresh Contacts®,Completed,Has Results,Contact Lens Lubrication,Drug: carboxymethylcellulose based eye drop formula|Drug: carboxymethylcellulose sodium based eye drop solution,Allergan,Phase 3,Industry,Interventional,29-Sep-14,https://ClinicalTrials.gov/show/NCT01844388
94,Investigating the Efficacy of a Dentifrice in Providing Long Term Relief From Dentinal Hypersensitivity,Completed,Has Results,Dentine Hypersensitivity,Drug: Stannous fluoride|Drug: Sodium monofluorophosphate,GlaxoSmithKline,Phase 3,Industry,Interventional,26-Jan-15,https://ClinicalTrials.gov/show/NCT01827670
95,Assessment of Fluticasone Propionate on Ocular Allergy Symptoms,Completed,Has Results,Allergic Rhinitis|Seasonal Allergic Rhinitis,Drug: Fluticasone propionate|Drug: Placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Apr-14,https://ClinicalTrials.gov/show/NCT01817790
96,AM-101 in the Treatment of Acute Tinnitus 2,Completed,Has Results,Tinnitus,Drug: AM-101|Drug: Placebo,"Auris Medical, Inc.",Phase 3,Industry,Interventional,28-May-18,https://ClinicalTrials.gov/show/NCT01803646
97,Comparing the Safety and Efficacy of BOL-303259-X Ophthalmic Solution With Timolol Maleate Ophthalmic Solution in Subjects With Open-Angle Glaucoma or Ocular Hypertension,Completed,Has Results,Open-Angle Glaucoma|Ocular Hypertension,Drug: BOL-303259-X|Drug: Timolol,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,21-Nov-18,https://ClinicalTrials.gov/show/NCT01749930
98,Comparing Safety and Efficacy of BOL-303259-X With Timolol Maleate in Subjects With Open-Angle Glaucoma or Ocular Hypertension,Completed,Has Results,Open-Angle Glaucoma|Ocular Hypertension,Drug: BOL-303259-X|Drug: Timolol,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,7-Nov-18,https://ClinicalTrials.gov/show/NCT01749904
99,Safety and Efficacy of CTAP101 to Treat Secondary Hyperparathyroidism in Stage 3 or 4 CKD and Vitamin D Insufficiency,Completed,Has Results,"Chronic Kidney Disease|Hyperparathyroidism, Secondary|Vitamin D Deficiency",Drug: CTAP101 30 μg capsules|Other: Sugar pill to CTAP101 30 μg capsules,"OPKO IP Holdings II, Inc.|OPKO Health, Inc.",Phase 3,Industry,Interventional,17-Aug-16,https://ClinicalTrials.gov/show/NCT01704079
100,"A Single-Center,Evaluation of the Onset and Duration of Action of AC-170 0.24% Compared to Vehicle",Completed,Has Results,Allergic Conjunctivitis,Drug: AC-170 0.24%|Drug: AC-170 0%,"Aciex Therapeutics, Inc.",Phase 3,Industry,Interventional,10-Oct-17,https://ClinicalTrials.gov/show/NCT01685242
101,Safety and Effectiveness of Wavefront-Guided LASIK Corrections of Myopic Refractive Errors,Completed,Has Results,Myopia,Device: LASIK correction of myopic refractive errors,Abbott Medical Optics,Phase 3,Industry,Interventional,26-Jun-15,https://ClinicalTrials.gov/show/NCT01663363
102,Efficacy and Safety Trial to Evaluate the Sufentanil NanoTab® PCA System/15 mcg (Zalviso™) for Post-Operative Pain in Patients After Knee or Hip Replacement Surgery,Completed,Has Results,Post Operative Pain,Drug: Sufentanil NanoTab PCA System/15 mcg|Drug: Placebo Sufentanil NanoTab PCA System,"AcelRx Pharmaceuticals, Inc.",Phase 3,Industry,Interventional,3-Feb-14,https://ClinicalTrials.gov/show/NCT01660763
103,Safety and Efficacy of CTAP101 to Treat Secondary Hyperparathyroidism in Stage 3 or 4 CKD and Vitamin D Insufficiency,Completed,Has Results,"Chronic Kidney Disease|Hyperparathyroidism, Secondary|Vitamin D Deficiency",Drug: CTAP101 30 μg capsules|Other: Sugar pill to CTAP101 30 μg capsules,"OPKO IP Holdings II, Inc.|OPKO Health, Inc.",Phase 3,Industry,Interventional,17-Aug-16,https://ClinicalTrials.gov/show/NCT01651000
104,Effect of Fluoride in a Dentifrice on Remineralization of Erosive Lesions,Completed,Has Results,Enamel Erosion,Drug: sodium fluoride|Drug: no added fluoride in a silica base,GlaxoSmithKline,Phase 3,Industry,Interventional,31-Jul-13,https://ClinicalTrials.gov/show/NCT01641237
105,Evaluation of Coronary Luminal Diameter Enlargement With Emerge™ 1.20 mm PTCA Dilatation Catheter,Completed,Has Results,Coronary Artery Disease,Device: Emerge™ 1.20 mm PTCA Dilatation Catheter,Boston Scientific Corporation,Phase 3,Industry,Interventional,6-Nov-13,https://ClinicalTrials.gov/show/NCT01635881
106,A Clinical Study to Evaluate Experimental Children's Toothpastes in an In-Situ Caries Model,Completed,Has Results,Dental Caries,Drug: Fluoride|Drug: Placebo,GlaxoSmithKline,Phase 3,Industry,Interventional,26-Aug-13,https://ClinicalTrials.gov/show/NCT01607411
107,The Efficacy of a Dentifrice in Providing Relief From the Pain of Dentinal Hypersensitivity,Completed,Has Results,Dentine Hypersensitivity,Drug: Stannous Fluoride|Drug: Sodium Monofluorophosphate,GlaxoSmithKline,Phase 3,Industry,Interventional,10-Mar-14,https://ClinicalTrials.gov/show/NCT01592864
108,Clinical Efficacy of a Toothpaste in Providing Relief From the Pain of Dentinal Hypersensitivity,Completed,Has Results,Dentine Hypersensitivity,Drug: Stannous Fluoride|Drug: Sodium Monofluorophosphate,GlaxoSmithKline,Phase 3,Industry,Interventional,3-Jun-14,https://ClinicalTrials.gov/show/NCT01592851
109,A Trial Comparing the Efficacy of Insulin Degludec With Insulin Glargine on Glycaemic Control Using Continuous Glucose Monitoring in Patients With Type 1 Diabetes,Completed,Has Results,"Diabetes|Diabetes Mellitus, Type 1",Drug: insulin degludec|Drug: insulin glargine,Novo Nordisk A/S,Phase 3,Industry,Interventional,17-Nov-15,https://ClinicalTrials.gov/show/NCT01569841
110,Effect of Aspirin Pretreatment or Slow Dose Titration on Flushing and Gastrointestinal Events in Healthy Volunteers Receiving Delayed-release Dimethyl Fumarate,Completed,Has Results,Healthy,Drug: BG00012 (dimethyl fumarate)|Drug: BG00012 placebo|Drug: ASA|Drug: ASA placebo,Biogen,Phase 3,Industry,Interventional,13-Jun-16,https://ClinicalTrials.gov/show/NCT01568112
111,A Multi-Center Study Evaluating the Onset and Duration of Action of AC-170 0.24% Compared to Vehicle in the Conjunctival Allergen Challenge (CAC),Completed,Has Results,Allergic Conjunctivitis,Drug: AC-170 0.24%|Drug: AC-170 0%,"Aciex Therapeutics, Inc.",Phase 3,Industry,Interventional,3-Oct-17,https://ClinicalTrials.gov/show/NCT01551056
112,Pharmacodynamic Evaluation of PL2200 Versus Enteric-Coated and Immediate Release Aspirin in Diabetic Patients,Completed,Has Results,"Diabetes Mellitus, Type 2",Drug: PL2200 Aspirin Capsules|Drug: Immediate-Release Aspirin Tablets|Drug: Enteric-coated aspirin caplets,PLx Pharma,Phase 3,Industry,Interventional,4-Sep-15,https://ClinicalTrials.gov/show/NCT01515657
113,Ph 3 Safety/Efficacy Study of Rolapitant for Prevention of CINV in Subjects Receiving Moderately Emetogenic Chemotherapy,Completed,Has Results,Chemotherapy-induced Nausea and Vomiting,Drug: Rolapitant|Drug: Granisetron|Drug: Dexamethasone|Drug: Placebo,"Tesaro, Inc.",Phase 3,Industry,Interventional,4-Nov-15,https://ClinicalTrials.gov/show/NCT01500226
114,Ph3 Safety/Efficacy Study of Rolapitant for the Prevention of CINV in Subjects Receiving Highly Emetogenic Chemotherapy,Completed,Has Results,Chemotherapy-induced Nausea and Vomiting,Drug: Rolapitant|Drug: Granisetron|Drug: Dexamethasone|Drug: Placebo,"Tesaro, Inc.",Phase 3,Industry,Interventional,4-Nov-15,https://ClinicalTrials.gov/show/NCT01500213
115,Ph3 Safety/Efficacy Study of Rolapitant for the Prevention of CINV in Subjects Receiving Highly Emetogenic Chemotherapy,Completed,Has Results,Chemotherapy-induced Nausea and Vomiting,Drug: Rolapitant|Drug: Granisetron|Drug: dexamethasone|Drug: Placebo,"Tesaro, Inc.",Phase 3,Industry,Interventional,4-Nov-15,https://ClinicalTrials.gov/show/NCT01499849
116,Loteprednol vs Prednisolone for the Treatment of Intraocular Inflammation Following Cataract Surgery in Children.,Completed,Has Results,Cataract,Drug: Loteprednol etabonate|Drug: Prednisolones acetate,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,11-Jun-19,https://ClinicalTrials.gov/show/NCT01475643
117,"Safety, Efficacy, and Acceptability Study of an Eye Drop Formulation in Subjects With Dry Eye Disease",Completed,Has Results,Dry Eye Syndromes,Drug: Carboxymethylcellulose Based Eye Drop Formulation A|Drug: Carboxymethylcellulose Based Eye Drop Formulation B|Drug: Carboxymethylcellulose Based Preservative-Free Lubricant Eye Drops|Drug: Carboxymethylcellulose Based Lubricant Eye Drops,Allergan,Phase 3,Industry,Interventional,14-Mar-13,https://ClinicalTrials.gov/show/NCT01459588
118,Trial to Evaluate the Safety & Efficacy of the Omnilink Elite™ Peripheral Balloon-Expandable Stent System in Subjects With Atherosclerotic de Novo or Restenotic Lesions in the Native Common Iliac Artery and/or Native External Iliac Artery,Completed,Has Results,Peripheral Vascular Disease,Device: Omnilink Elite™ Peripheral Balloon-Expandable Stent System,Abbott Medical Devices,Phase 3,Industry,Interventional,1-Oct-12,https://ClinicalTrials.gov/show/NCT01396525
119,Evaluate Efficacy and Safety of Extended Release (ER) Naproxen Sodium,Completed,Has Results,"Pain, Postoperative","Drug: Naproxen Sodium ER (BAYH6689)|Drug: Naproxen Sodium IR (Aleve, BAYH6689)|Drug: Naproxen Sodium ER Placebo|Drug: Naproxen Sodium IR Placebo",Bayer,Phase 3,Industry,Interventional,7-May-13,https://ClinicalTrials.gov/show/NCT01389284
120,Efficacy of Bromfenac Ophthalmic Solution in Patients Undergoing Cataract Surgery,Completed,Has Results,Pain|Inflammation|Cataract,Drug: Bromfenac Ophthalmic Solution|Drug: Placebo,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,6-May-14,https://ClinicalTrials.gov/show/NCT01367249
121,Efficacy and Safety of Pirfenidone in Patients With Idiopathic Pulmonary Fibrosis (IPF),Completed,Has Results,Idiopathic Pulmonary Fibrosis,Drug: Pirfenidone|Drug: Placebo,"Genentech, Inc.",Phase 3,Industry,Interventional,12-Mar-15,https://ClinicalTrials.gov/show/NCT01366209
122,Ibuprofen Sodium Tension Headache Study,Completed,Has Results,Pain,Drug: Ibuprofen Sodium|Drug: Standard Ibuprofen|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,30-Jul-14,https://ClinicalTrials.gov/show/NCT01362491
123,Efficacy and Safety Study Of Short Ragweed Pollen Sublingual-Oral Immunotherapy,Completed,Has Results,Allergy,Biological: Short Ragweed Pollen Allergenic Extract|Biological: Placebo,Greer Laboratories,Phase 3,Industry,Interventional,5-Feb-15,https://ClinicalTrials.gov/show/NCT01353079
124,Fluocinolone Acetonide in Diabetic Macular Edema (FAME) Extension Study,Completed,Has Results,Diabetic Macular Edema,Drug: Fluocinolone Acetonide,Alimera Sciences,Phase 3,Industry,Interventional,4-May-15,https://ClinicalTrials.gov/show/NCT01304706
125,"Bioequivalence Study of Generic Tretinoin 0.04% Microsphere Gel, 0.04% Retin-A Micro® and Placebo",Completed,Has Results,Acne,Drug: Tretinoin|Drug: placebo,Spear Pharmaceuticals,Phase 3,Industry,Interventional,18-Nov-14,https://ClinicalTrials.gov/show/NCT01243450
126,One-Piece Hydrophobic Acrylic Intraocular Lens in Subjects Undergoing Cataract Extraction,Completed,Has Results,Aphakia|Cataract,Device: enVista,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,22-Aug-13,https://ClinicalTrials.gov/show/NCT01230060
127,Study Evaluating A Novel Ibuprofen Formulation In The Treatment Of Dental Pain,Completed,Has Results,Pain,Drug: Novel Ibuprofen|Drug: Acetaminophen|Drug: Placebo,Pfizer,Phase 3,Industry,Interventional,20-Aug-12,https://ClinicalTrials.gov/show/NCT01216163
128,Effects of Desoximetasone Spray 0.25% in Patients With Moderate to Severe Plaque Psoriasis,Completed,Has Results,Psoriasis,Drug: Desoximetasone Spray 0.25%|Drug: placebo,Taro Pharmaceuticals USA,Phase 3,Industry,Interventional,3-Jul-14,https://ClinicalTrials.gov/show/NCT01206660
129,Safety and Efficacy of Difluprednate 0.05% for the Treatment of Anterior Uveitis,Completed,Has Results,Endogenous Anterior Uveitis,Drug: Difluprednate 0.05% ophthalmic emulsion|Drug: Prednisolone acetate 1.0% ophthalmic suspension,Alcon Research,Phase 3,Industry,Interventional,15-Nov-12,https://ClinicalTrials.gov/show/NCT01201798
130,Safety of Besivance™ (Besifloxacin Ophthalmic Suspension) 0.6% Compared to Vehicle,Completed,Has Results,Bacterial Conjunctivitis,Drug: Besivance|Drug: Vehicle,Bausch & Lomb Incorporated,Phase 3,Industry,Interventional,1-May-13,https://ClinicalTrials.gov/show/NCT01175590
131,VA-006 Vaccinia Vaccine (ACAM2000) for the Production of VIGIV,Completed,Has Results,Smallpox Vaccine Adverse Reaction,Biological: ACAM2000,Cangene Corporation|Centers for Disease Control and Prevention,Phase 3,Industry|U.S. Fed,Interventional,26-Mar-19,https://ClinicalTrials.gov/show/NCT01158157
132,A Clinical Trial Comparing Cangrelor to Clopidogrel Standard Therapy in Subjects Who Require Percutaneous Coronary Intervention (PCI) (CHAMPION PHOENIX),Completed,Has Results,Atherosclerosis|Percutaneous Coronary Intervention|Acute Coronary Syndrome,Drug: cangrelor P2Y12 (platelet) inhibitor|Drug: Clopidogrel - 300 or 600 mg (study arm)|Drug: Clopidogrel 600 mg post cangrelor,The Medicines Company,Phase 3,Industry,Interventional,18-Jun-13,https://ClinicalTrials.gov/show/NCT01156571
133,Study of 0417 Ointment in the Treatment of Atopic Dermatitis,Completed,Has Results,Atopic Dermatitis,Drug: 0417|Drug: Vehicle of 0417 test product|Drug: Tacrolimus Ointment 0.03%,Fougera Pharmaceuticals Inc.,Phase 3,Industry,Interventional,30-Sep-14,https://ClinicalTrials.gov/show/NCT01139450
134,"Bioequivalence Study of Generic Tretinoin 0.1% Microsphere Gel, 0.1% Retin-A Micro® and Placebo",Completed,Has Results,Acne,Drug: Tretinoin microsphere 0.1%|Drug: Brand Retin-A Micro tretinoin microsphere gel 0.1%|Drug: placebo microsphere gel,Spear Pharmaceuticals,Phase 3,Industry,Interventional,16-Oct-14,https://ClinicalTrials.gov/show/NCT01135069
135,Difluprednate Pediatric Study for the Treatment of Inflammation Post-Cataract Surgery,Completed,Has Results,Cataracts|Inflammation,"Drug: Difluprednate ophthalmic emulsion, 0.05%|Drug: Prednisolone acetate ophthalmic suspension, 1.0%",Alcon Research,Phase 3,Industry,Interventional,19-Jun-13,https://ClinicalTrials.gov/show/NCT01124045
136,To Evaluate the Safety and Efficacy of Acetaminophen 650 mg and 1000mg in Dental Pain After Surgery,Completed,Has Results,Pain,Drug: Acetaminophen|Drug: Placebo Control,"McNeil Consumer Healthcare Division of McNEIL-PPC, Inc.|Johnson & Johnson Consumer and Personal Products Worldwide",Phase 3,Industry,Interventional,28-May-12,https://ClinicalTrials.gov/show/NCT01115673
137,Efficacy of To Be Marketed (TBM) Cholic Acid Capsules Used to Treat Children With Inborn Errors of Bile Acid Synthesis,Completed,Has Results,Inborn Errors of Bile Acid Synthesis,Drug: Cholic acid,"Retrophin, Inc.",Phase 3,Industry,Interventional,9-Dec-16,https://ClinicalTrials.gov/show/NCT01115582
